drugid1,drugid2
DB00316,DB01174
DB01174,DB00316
DB00316,DB00252
DB00252,DB00316
DB00829,DB00231
DB00231,DB00829
DB00842,DB00231
DB00231,DB00842
DB00201,DB00277
DB00277,DB00201
DB00544,DB01101
DB00668,DB01235
DB01033,DB00993
DB00497,DB01192
DB01192,DB00497
DB00322,DB00544
DB06605,DB00006
DB00006,DB06605
DB00006,DB06695
DB06695,DB00006
DB00006,DB01254
DB01254,DB00006
DB00006,DB01609
DB01609,DB00006
DB00006,DB03619
DB03619,DB00006
DB00006,DB09053
DB09053,DB00006
DB00006,DB06228
DB06228,DB00006
DB00006,DB06206
DB06206,DB00006
DB00006,DB00806
DB00806,DB00006
DB00006,DB00159
DB00159,DB00006
DB00006,DB00328
DB00328,DB00006
DB00006,DB00461
DB00461,DB00006
DB00006,DB00465
DB00465,DB00006
DB00006,DB00482
DB00482,DB00006
DB00006,DB00500
DB00500,DB00006
DB00006,DB00533
DB00533,DB00006
DB00006,DB00554
DB00554,DB00006
DB00006,DB00573
DB00573,DB00006
DB00006,DB00580
DB00580,DB00006
DB00006,DB00586
DB00586,DB00006
DB00006,DB00605
DB00605,DB00006
DB00006,DB00712
DB00712,DB00006
DB00006,DB00749
DB00749,DB00006
DB00006,DB00784
DB00784,DB00006
DB00006,DB00788
DB00788,DB00006
DB00006,DB00812
DB00812,DB00006
DB00006,DB00814
DB00814,DB00006
DB00006,DB00861
DB00861,DB00006
DB00006,DB00991
DB00991,DB00006
DB00006,DB01009
DB01009,DB00006
DB00006,DB01397
DB01397,DB00006
DB00006,DB01399
DB01399,DB00006
DB00006,DB04865
DB04865,DB00006
DB01294,DB00006
DB00006,DB01294
DB00006,DB14006
DB14006,DB00006
DB00261,DB00006
DB00006,DB00261
DB00006,DB00758
DB00758,DB00006
DB00006,DB00775
DB00775,DB00006
DB00006,DB00975
DB00975,DB00006
DB00006,DB01088
DB01088,DB00006
DB00006,DB01138
DB01138,DB00006
DB00006,DB01240
DB01240,DB00006
DB00006,DB06209
DB06209,DB00006
DB00006,DB08816
DB08816,DB00006
DB00006,DB00374
DB00374,DB00006
DB00006,DB00176
DB00176,DB00006
DB00006,DB00472
DB00472,DB00006
DB00006,DB00715
DB00715,DB00006
DB00006,DB00476
DB00476,DB00006
DB00006,DB01105
DB01105,DB00006
DB00006,DB04896
DB04896,DB00006
DB00006,DB08918
DB08918,DB00006
DB00006,DB00285
DB00285,DB00006
DB00006,DB00266
DB00266,DB00006
DB00278,DB00006
DB00006,DB00278
DB00006,DB00682
DB00682,DB00006
DB12364,DB00006
DB00006,DB12364
DB00006,DB14726
DB14726,DB00006
DB00006,DB06287
DB06287,DB00006
DB00006,DB08901
DB08901,DB00006
DB00006,DB09079
DB09079,DB00006
DB00006,DB01175
DB01175,DB00006
DB09083,DB00007
DB00007,DB09083
DB00007,DB00197
DB00197,DB00007
DB00222,DB00007
DB00007,DB00222
DB00284,DB00007
DB00007,DB00284
DB00007,DB00412
DB00412,DB00007
DB00414,DB00007
DB00007,DB00414
DB00007,DB00491
DB00491,DB00007
DB00672,DB00007
DB00007,DB00672
DB00007,DB00731
DB00731,DB00007
DB00007,DB00839
DB00839,DB00007
DB00007,DB00912
DB00912,DB00007
DB01016,DB00007
DB00007,DB01016
DB01067,DB00007
DB00007,DB01067
DB00007,DB01124
DB01124,DB00007
DB00007,DB01132
DB01132,DB00007
DB00007,DB01261
DB01261,DB00007
DB00007,DB01278
DB01278,DB00007
DB06203,DB00007
DB00007,DB06203
DB06292,DB00007
DB00007,DB06292
DB00007,DB06335
DB06335,DB00007
DB00007,DB08882
DB08882,DB00007
DB08907,DB00007
DB00007,DB08907
DB09038,DB00007
DB00007,DB09038
DB00007,DB09265
