drugid1,drugid2
DB00555,DB00555
DB00762,D0B6YB
D0B6YB,DB00762
DB00316,DB06151
D0B6YB,D0B6YB
DB00762,DB00762
DB01373,DB01373
DB00997,DB00997
DB00877,DB00877
DB00773,DB00773
DB00142,DB02530
DB14547,DB14547
DB00563,DB00563
DB00661,DB00661
DB00285,DB00285
DB00215,DB00215
DB00564,DB00564
DB11699,DB11699
DB00331,DB00331
DB01050,DB01050
DB00175,DB00175
DB01536,DB00655
DB01536,DB00624
DB00624,DB01536
DB00783,DB00655
DB04574,DB00655
DB00655,DB04574
DB00624,DB00783
DB00207,DB00207
DB00199,DB00199
DB01211,DB01211
DB00758,DB00758
DB00586,DB00586
DB00495,DB00495
DB00317,DB00317
DB00731,DB00731
DB03401,DB03401
DB00668,DB00668
DB08865,DB08865
DB00688,DB01024
DB01024,DB01024
DB06151,DB00143
DB01235,DB00988
DB00135,DB01235
DB00122,DB00122
DB03128,DB03128
DB07780,DB11460
DB11460,DB04540
DB01008,DB01008
DB00709,DB00709
DB01076,DB01076
DB00227,DB00227
DB00641,DB00641
DB00904,DB00904
DB03800,DB01643
DB04335,DB04076
DB00640,DB04335
DB00131,DB00640
DB02015,DB00116
DB00134,DB00118
DB01752,DB04422
DB04422,DB00134
DB00118,DB01752
DB11256,DB00116
DB04540,DB02659
DB04540,DB04540
DB00796,DB13919
DB13919,DB13919
DB03310,DB00143
DB00143,DB03310
DB00126,DB00126
DB02076,DB04034
DB04493,DB03581
DB03581,DB04493
DB01048,DB01048
DB00682,DB00682
DB00715,DB00715
DB00091,DB00091
DB00864,DB00864
DB00718,DB00718
DB14126,DB14126
DB00277,D0F1AS
DB00334,DB00334
DB00988,DB00368
DB00135,DB00988
DB00368,DB00368
DB08839,DB08839
DB00988,DB00988
DB11842,DB11720
DB01104,DB14071
DB01104,DB01104
DB01136,DB01136
DB14500,DB14500
DB06616,DB06616
DB01101,DB00544
DB00193,DB00193
DB08839,D02VPC
DB01235,DB00668
DB00321,DB00540
DB00540,DB00321
DB00321,DB13114
DB00540,DB00540
DB00321,DB00321
DB00993,DB01033
DB00352,DB00352
DB01033,DB01033
DB09280,DB09280
DB00437,DB05262
DB02134,DB08844
DB11091,DB11091
DB08844,DB08844
DB00472,D02ENH
DB00619,DB00619
DB00238,DB00238
DB08901,DB08901
DB01248,DB01248
DB01229,DB01229
DB00783,DB00783
DB00655,DB00655
DB02530,DB02530
DB00441,DB00441
DB08855,DB11858
DB12961,DB12961
DB08855,DB08855
DB00530,DB00530
DB04868,DB04868
DB00335,DB00335
DB01072,DB01072
DB01098,DB01098
DB01095,DB01095
DB00412,DB00412
DB01268,DB01268
DB12947,DB00544
DB00544,DB00322
DB00544,DB00544
DB00295,DB06409
DB00295,DB00295
DB06409,DB06409
DB01536,DB01536
DB00624,DB00624
DB00338,DB00338
DB00363,DB00363
DB00541,DB00541
DB00912,DB00912
DB06589,DB06589
