drugid1,protein_name
D0O9NE,P00519
D0KS3X,P18507
D0L7RB,P51649
D05HCO,P00374
D0A2GB,P05108
D0KS3X,P14867
DB03552,P07101
D0KS3X,P47870
DB04447,P23284
D01AUS,P31213
D07MXA,Q92523
D09UXA,P54289
DB08375,P0AD68
D06BFH,P27695
D0B6QP,Q9NYX4
D08TWJ,P07711
D09FGQ,O91466
D0F1VP,P32238
D0JB1D,P35790
D0O9NE,Q16678
D07MKJ,P15042
DB02169,P28562
D0M7DG,Q96WX4
DB04302,P0A954
DB04302,P0AAI5
DB04302,P0A6R0
DB02489,P0AC16
DB04706,P32249
D05RZI,Q9NRM0
D05LOY,P43700
DB15550,P03159
D0BA5K,P30542
D01TCM,P21728
D0M4HC,P35348
DB02034,Q16706
D09GGO,P05362
D06VPR,P08908
D06VPR,P28222
D06VPR,P28221
D06VPR,P30939
D06VPR,P50406
D06VPR,P34969
D0B0ZQ,P21589
DB04299,P17174
DB00795,Q9UNQ0
DB02859,O00763
D0X4HG,P22303
D0M8JZ,P36544
DB01245,P02708
D0B6PX,P30926
D09AXB,P53396
D0O1BN,P11229
D0O1BN,P08172
D0N2VN,P08173
DB04562,Q99798
DB01284,Q01718
D03LPH,P08913
DB11477,P18089
DB11477,P18825
DB04440,P00813
DB00131,Q08828
DB01213,P07327
DB03226,Q24803
D00WHC,P55263
DB00368,P08588
DB04178,P12235
DB15236,P06280
DB00144,O14514
D0MH1K,P50052
DB01698,P42330
D0M0YO,P51648
D07UCF,P15275
D02XZI,P94967
D03MLC,O96935
DB03088,P04746
DB00141,P54802
DB09372,Q5XXA6
DB06781,P04083
DB03608,P19801
D00LPZ,Q16853
D03LPH,P21397
DB00170,Q06278
D02UVH,P02652
D07LUR,P02749
DB07810,O43315
DB04328,P0A6D3
DB03350,P12008
D0I8OE,P78348
DB04177,P05023
D0K1UF,P20648
DB07556,O75173
DB13059,Q96GD4
D00LHS,Q07817
DB02142,O15382
DB05450,P23560
D0Z7IJ,P00807
DB00974,P51559
DB03380,Q86WA6
D0UF8E,P17213
D00NWF,P15056
D0D1EU,Q9NY47
D0D1EU,Q8IZS8
D09YTH,Q15878
DB01992,P43155
D0KK9E,P19022
DB14622,P22748
D0U4BO,P06881
D0H2MO,P49913
DB05105,Q83884
DB01910,P13079
D0F4MI,P41180
D06VAQ,P04040
DB02216,P07339
DB03573,Q9UBX1
D07CVG,P15085
D07AEC,P20248
D06XIC,P51681
DB15236,Q9NNX6
D0D6MO,P06729
D0M7EP,P40259
DB12484,P32320
D03EIM,P00546
D0V1NK,P24941
DB02114,Q9UNI1
D0G6TL,P10809
D02HWR,O96017
D0X4HG,P06276
DB12939,P30573
DB07810,P51790
DB05487,P10909
D08QZD,P23946
D0C2HI,P26992
DB01992,P0A6I3
DB03170,Q13057
DB01565,P01189
