protein_name1,protein_name2
P17891,Q03829
Q03829,P17891
P38936,Q96N67
Q96N67,P38936
Q03690,P28274
P28274,Q03690
Q8WVD3,O95049
O95049,Q8WVD3
P38073,Q05549
Q05549,P38073
P0A9C0,P76507
P76507,P0A9C0
Q13137,O14920
O14920,Q13137
P0A6A3,P0AER0
P0AER0,P0A6A3
Q8N6U8,Q9NQC3
Q9NQC3,Q8N6U8
P51668,Q96PU4
Q96PU4,P51668
P38934,P05373
P05373,P38934
O46036,P14003
P14003,O46036
P20083,P69428
P69428,P20083
Q9DB25,P59266
P59266,Q9DB25
O15078,Q8IUZ0
Q8IUZ0,O15078
P40094,Q12234
Q12234,P40094
P50540,O88685
O88685,P50540
P18848,Q96EY7
Q96EY7,P18848
Q12033,P42934
P42934,Q12033
P47026,P17121
P17121,P47026
P21243,P23639
P23639,P21243
P54105,Q9HCE7
Q9HCE7,P54105
Q5VV42,P0DTC6
P0DTC6,Q5VV42
P0A964,P07821
P07821,P0A964
P0ABE2,P30137
P30137,P0ABE2
P23797,P36095
P36095,P23797
O88545,Q69ZW3
Q69ZW3,O88545
A0AV96,Q9H9B4
Q9H9B4,A0AV96
Q08188,Q96AP4
Q96AP4,Q08188
P77170,P0AED5
P0AED5,P77170
Q05513,Q13469
Q13469,Q05513
P38646,Q9NPF4
Q9NPF4,P38646
P62979,Q86UE8
Q86UE8,P62979
Q9NV35,Q9H4M7
Q9H4M7,Q9NV35
Q02978,Q86VM9
Q86VM9,Q02978
P40959,P09232
P09232,P40959
Q9H257,Q495M9
Q495M9,Q9H257
Q06609,Q96PU4
Q96PU4,Q06609
P32570,P38782
P38782,P32570
P06733,P68106
P68106,P06733
P53224,P47116
P47116,P53224
P60520,Q8N653
Q8N653,P60520
P0AGH8,P0A9K9
P0A9K9,P0AGH8
Q99613,O00303
O00303,Q99613
P0AEL6,P0A725
P0A725,P0AEL6
Q12233,Q8TGK4
Q8TGK4,Q12233
Q9GZX7,Q06265
Q06265,Q9GZX7
P0C079,P77179
P77179,P0C079
P45757,P69423
P69423,P45757
Q9NSC5,Q3SYF9
Q3SYF9,Q9NSC5
Q9P3U0,Q9P7D3
Q9P7D3,Q9P3U0
P12235,O60260
O60260,P12235
P36009,P32445
P32445,P36009
P53622,P38211
P38211,P53622
P33309,P42838
P42838,P33309
P15260,Q7L0Q8
Q7L0Q8,P15260
P38265,Q04002
Q04002,P38265
Q12382,Q12063
Q12063,Q12382
P52553,P25298
P25298,P52553
P32559,P17255
P17255,P32559
Q15910,Q13263
Q13263,Q15910
Q92769,P08047
P08047,Q92769
Q02821,P48837
P48837,Q02821
P37003,P77280
P77280,P37003
P69891,P60411
P60411,P69891
P43581,P13902
P13902,P43581
Q6ZN17,Q13263
Q13263,Q6ZN17
P38991,Q99207
Q99207,P38991
Q12343,P41057
P41057,Q12343
Q9VNP5,Q9VCU7
Q9VCU7,Q9VNP5
P04899,Q68DH5
Q68DH5,P04899
P06208,P31688
P31688,P06208
P04216,Q9Y277
Q9Y277,P04216
P04051,P25441
P25441,P04051
Q08379,Q8ND82
Q8ND82,Q08379
Q92904,Q86UW6
Q86UW6,Q92904
P38089,P39926
P39926,P38089
P61254,Q02878
Q02878,P61254
P15873,P38630
P38630,P15873
P45818,Q05022
Q05022,P45818
P04632,P22314
P22314,P04632
P12945,P12868
P12868,P12945
O76031,P43897
P43897,O76031
P33307,P07143
